;Cena;Powierzchnia;Liczba pokoi;Rynek;Title_len;numer_pietra;liczba_pieter;Forma własności_pełna własność;Forma własności_spółdzielcze wł. z KW;Forma własności_spółdzielcze własnościowe;Forma własności_udział;Stan wykończenia_brak informacji;Stan wykończenia_do remontu;Stan wykończenia_do wykończenia;Stan wykończenia_do zamieszkania;balkon_balkon;balkon_brak informacji;balkon_ogródek;balkon_taras;Miejsce parkingowe_brak;Miejsce parkingowe_garaż/miejsce parkingowe;Ogrzewanie_brak informacji;Ogrzewanie_elektryczne;Ogrzewanie_gazowe;Ogrzewanie_inne;Ogrzewanie_kotłownia;Ogrzewanie_miejskie;Rodzaj zabudowy_apartamentowiec;Rodzaj zabudowy_blok;Rodzaj zabudowy_brak informacji;Rodzaj zabudowy_dom wolnostojący;Rodzaj zabudowy_kamienica;Rodzaj zabudowy_szeregowiec;Okna_aluminiowe;Okna_brak informacji;Okna_drewniane;Okna_plastikowe;Winda_nie;Winda_tak;dodatkowe_brak informacji;dodatkowe_dwupoziomowe;dodatkowe_oddzielna kuchnia;dodatkowe_piwnica;dodatkowe_pom. użytkowe;Materiał budynku_beton;Materiał budynku_beton komórkowy;Materiał budynku_brak informacji;Materiał budynku_cegła;Materiał budynku_inne;Materiał budynku_pustak;Materiał budynku_silikat;Materiał budynku_wielka płyta;Materiał budynku_żelbet
79;450000.0;26.0;1.0;0;41;6.0;6.0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
80;1019497.0;83.9;4.0;0;45;3.0;3.0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
83;581924.0;75.33;4.0;0;40;1.0;1.0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
85;399000.0;29.3;1.0;0;45;0.0;3.0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
86;1950000.0;124.0;5.0;0;43;3.0;4.0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0
87;495000.0;42.5;2.0;0;50;8.0;10.0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0
88;580000.0;48.0;3.0;0;50;3.0;4.0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
89;676736.0;52.7;2.0;0;45;8.0;8.0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
90;665468.0;52.2;2.0;0;45;7.0;7.0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
92;575000.0;57.57;3.0;0;37;0.0;5.0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
